Time,U1,U2,U3,U4,U5,Utot,J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC
37,0.67468,0.6694,0.66783,0.66858,0.66633,3.34684,0.70159,70.1593,27.35397,41.19534,42.27667,51.6585,53.8062,55.43654,1299.71171,1267.26016,1302.10658,1289.34901,4.79826,2.12407,23.03705,21.40751,2.03905,49.97041
38,0.67452,0.66924,0.66766,0.66841,0.66618,3.34601,0.7016,70.15966,27.36702,41.18223,42.28149,51.65524,53.80987,55.43659,1299.71614,1267.29337,1301.553,1288.78553,4.79827,2.12533,23.03702,21.40814,2.03861,49.97484
39,0.67438,0.6691,0.66754,0.66825,0.66605,3.3453,0.7016,70.16,27.38601,41.17482,42.28956,51.65301,53.81328,55.4371,1299.7089,1267.30362,1301.00024,1288.22774,4.79831,2.12591,23.03701,21.40865,2.03792,49.98112
40,0.6743,0.66898,0.66747,0.66813,0.66597,3.3448,0.7016,70.16045,27.41175,41.17289,42.29857,51.65133,53.8164,55.43838,1299.68237,1267.28234,1300.49072,1287.71863,4.79836,2.12576,23.03703,21.4086,2.03702,49.98788
41,0.67427,0.66891,0.66745,0.66805,0.66596,3.3446,0.70162,70.16157,27.44175,41.17553,42.30659,51.6494,53.81881,55.44025,1299.65011,1267.24189,1300.0186,1287.25009,4.7984,2.12496,23.03706,21.40812,2.03586,49.99232
42,0.67432,0.66891,0.66752,0.66803,0.66604,3.34475,0.70164,70.16396,27.4712,41.18072,42.31339,51.64675,53.82037,55.44266,1299.61817,1267.19175,1299.59121,1286.82576,4.79843,2.12368,23.03707,21.4077,2.0343,49.99172
43,0.67445,0.66898,0.66765,0.66808,0.66621,3.34529,0.70168,70.16778,27.49596,41.18733,42.31933,51.64302,53.82101,55.44527,1299.59995,1267.1461,1299.21258,1286.45128,4.79844,2.12227,23.03707,21.40772,2.03229,49.98703
44,0.67464,0.66913,0.66786,0.66821,0.66646,3.34623,0.70173,70.17255,27.51296,41.19449,42.32413,51.63824,53.821,55.44785,1299.60707,1267.11854,1298.89581,1286.15075,4.79847,2.12104,23.03703,21.40809,2.02977,49.98047
45,0.67486,0.66932,0.6681,0.66844,0.66677,3.34746,0.70178,70.17793,27.52054,41.19985,42.32816,51.63284,53.82084,55.4503,1299.63937,1267.11489,1298.65429,1285.94488,4.7985,2.12007,23.03696,21.40851,2.027,49.97342
46,0.67509,0.66955,0.66835,0.66872,0.66711,3.34879,0.70184,70.18354,27.51882,41.20151,42.3312,51.62685,53.82047,55.45223,1299.70514,1267.14131,1298.51087,1285.85812,4.79851,2.11945,23.03687,21.40866,2.02432,49.96565
47,0.67532,0.66978,0.66861,0.66899,0.66745,3.35013,0.70189,70.18909,27.50975,41.19723,42.33264,51.62084,53.82022,55.45376,1299.7913,1267.18747,1298.49373,1285.90566,4.79848,2.11929,23.0368,21.4084,2.02185,49.95548
48,0.67552,0.67,0.66885,0.66925,0.66779,3.35141,0.70195,70.19454,27.49742,41.18474,42.3322,51.61491,53.81988,55.45474,1299.87718,1267.23891,1298.59097,1286.06017,4.79845,2.1196,23.03676,21.40781,2.01952,49.94263
49,0.67571,0.6702,0.66907,0.66949,0.66813,3.35262,0.702,70.19979,27.48603,41.16443,42.32969,51.60826,53.81879,55.45471,1299.95869,1267.29259,1298.75502,1286.2685,4.79844,2.12023,23.03675,21.40702,2.01709,49.92725
50,0.67589,0.67039,0.66927,0.66974,0.66847,3.35381,0.70205,70.20492,27.47738,41.13751,42.32452,51.60069,53.81702,55.45361,1300.04516,1267.36149,1298.92755,1286.47349,4.79844,2.12105,23.03675,21.40597,2.01466,49.90999
51,0.67608,0.67058,0.66947,0.67,0.66881,3.35501,0.7021,70.21031,27.47019,41.10491,42.31679,51.59274,53.81534,55.45192,1300.14658,1267.45921,1299.08482,1286.65173,4.79843,2.12214,23.03675,21.40479,2.01261,49.89299
52,0.67624,0.67075,0.66964,0.67027,0.66912,3.35615,0.70216,70.21583,27.46238,41.06628,42.3073,51.58495,53.81446,55.44986,1300.26045,1267.5848,1299.19711,1286.77649,4.79839,2.12335,23.03674,21.40375,2.01159,49.87828
53,0.67636,0.67087,0.66977,0.67053,0.66937,3.35707,0.70221,70.22049,27.45287,41.02045,42.29708,51.57795,53.81489,55.44773,1300.38817,1267.73339,1299.27045,1286.85659,4.79832,2.12445,23.03671,21.4031,2.01182,49.86591
54,0.67639,0.67088,0.6698,0.67071,0.66947,3.35739,0.70224,70.22372,27.44215,40.97046,42.28752,51.5726,53.81672,55.44583,1300.50879,1267.88043,1299.3201,1286.90358,4.79824,2.12522,23.0367,21.40284,2.01304,49.85643
55,0.67621,0.67066,0.6696,0.67062,0.66923,3.3562,0.70226,70.22598,27.43252,40.92206,42.27908,51.56939,53.81976,55.44453,1300.60319,1268.01074,1299.35951,1286.91991,4.79814,2.12558,23.03672,21.40277,2.01493,49.85091
56,0.67584,0.67025,0.66916,0.67025,0.66871,3.35389,0.70228,70.22778,27.42691,40.88108,42.2716,51.56838,53.82346,55.444,1300.65713,1268.11351,1299.3942,1286.9031,4.79804,2.12552,23.0368,21.40273,2.01729,49.85017
57,0.67547,0.66985,0.66872,0.66986,0.66827,3.35188,0.70229,70.22912,27.42811,40.85116,42.26527,51.56891,53.82709,55.44384,1300.66799,1268.17989,1299.41839,1286.85357,4.79795,2.12523,23.03691,21.40266,2.01982,49.85489
58,0.67517,0.66952,0.66837,0.66953,0.66795,3.35033,0.7023,70.2298,27.43858,40.83523,42.26088,51.57032,53.83028,55.44373,1300.64689,1268.20671,1299.43082,1286.78282,4.79787,2.12475,23.03703,21.40296,2.02244,49.86507
59,0.67492,0.66926,0.66808,0.66926,0.66771,3.34901,0.7023,70.22974,27.45868,40.83399,42.25895,51.57251,53.83295,55.44356,1300.60642,1268.20297,1299.43115,1286.70734,4.7978,2.1243,23.03713,21.40411,2.02519,49.878
60,0.67471,0.66903,0.66781,0.66902,0.66748,3.34782,0.70229,70.22919,27.48545,40.84542,42.25879,51.57542,53.83562,55.44348,1300.54379,1268.1713,1299.44147,1286.6621,4.79771,2.124,23.0372,21.406,2.02816,49.89054
61,0.6745,0.6688,0.66756,0.66879,0.66722,3.34658,0.70228,70.22834,27.51474,40.86599,42.25958,51.57899,53.83853,55.44362,1300.46057,1268.11968,1299.49133,1286.68332,4.79761,2.1241,23.03726,21.40815,2.03132,49.90196
62,0.67428,0.66854,0.66727,0.66855,0.66691,3.34509,0.70227,70.22736,27.54408,40.89345,42.26124,51.58325,53.84124,55.44388,1300.35821,1268.057,1299.58527,1286.77375,4.79751,2.12441,23.03732,21.41013,2.03445,49.91323
63,0.67398,0.66823,0.66691,0.66823,0.66651,3.34323,0.70226,70.22624,27.57362,40.92575,42.2633,51.5882,53.8431,55.44437,1300.24655,1267.99309,1299.68036,1286.8773,4.7974,2.12467,23.03737,21.41159,2.03702,49.92307
64,0.67366,0.66791,0.66651,0.66785,0.66614,3.34151,0.70225,70.22495,27.60542,40.96143,42.26511,51.59404,53.84368,55.44537,1300.138,1267.92965,1299.73871,1286.94411,4.79729,2.12466,23.03742,21.41232,2.03863,49.92912
65,0.67344,0.66772,0.66625,0.66761,0.66597,3.34076,0.70223,70.2235,27.64206,40.99887,42.26615,51.60095,53.84269,55.44648,1300.02817,1267.85269,1299.7405,1286.9481,4.7972,2.12422,23.03745,21.41231,2.03964,49.93299
66,0.67349,0.66778,0.66629,0.66768,0.66605,3.34122,0.70222,70.22202,27.68434,41.03855,42.26612,51.60806,53.83962,55.44683,1299.92335,1267.76496,1299.67448,1286.88684,4.79715,2.1233,23.03746,21.41158,2.04069,49.9375
67,0.67368,0.668,0.66647,0.66788,0.66625,3.34221,0.70221,70.22059,27.72898,41.07971,42.26523,51.61441,53.83477,55.44618,1299.84346,1267.68862,1299.54334,1286.77913,4.79713,2.12216,23.03743,21.41026,2.04195,49.94287
68,0.67387,0.66821,0.66665,0.66806,0.66645,3.34315,0.70219,70.21933,27.77022,41.11823,42.26351,51.61912,53.8293,55.44499,1299.78758,1267.63221,1299.35589,1286.64077,4.79714,2.12116,23.03737,21.4088,2.04341,49.9471
69,0.67402,0.66839,0.6668,0.66819,0.66662,3.34394,0.70218,70.21835,27.80337,41.15013,42.26066,51.6216,53.8242,55.44385,1299.75083,1267.59613,1299.14495,1286.49971,4.79716,2.12035,23.03729,21.40749,2.04499,49.94824
70,0.67413,0.66854,0.66692,0.66829,0.66677,3.34459,0.70218,70.21762,27.82619,41.17402,42.25616,51.62158,53.8193,55.44264,1299.74026,1267.59035,1298.97521,1286.40842,4.79717,2.1196,23.03719,21.40638,2.04635,49.94716
71,0.67423,0.66865,0.66701,0.66838,0.6669,3.34511,0.70217,70.21711,27.83895,41.19166,42.25006,51.61936,53.81473,55.44131,1299.7659,1267.62314,1298.89512,1286.3955,4.79715,2.11864,23.03709,21.40529,2.04701,49.94509
72,0.67429,0.66873,0.66707,0.66846,0.66699,3.3455,0.70217,70.21687,27.84469,41.20341,42.24315,51.61603,53.81107,55.44035,1299.82201,1267.68303,1298.9079,1286.44373,4.7971,2.11756,23.03698,21.40388,2.04693,49.94316
73,0.67431,0.66876,0.6671,0.6685,0.66706,3.34572,0.70217,70.21679,27.84697,41.20679,42.23693,51.6127,53.80859,55.44002,1299.9044,1267.75819,1298.97455,1286.50854,4.797,2.11672,23.03688,21.40206,2.04641,49.9429
74,0.67429,0.66875,0.66709,0.66851,0.66708,3.34574,0.70217,70.2168,27.84792,41.20091,42.23314,51.6097,53.80691,55.43979,1299.99186,1267.82668,1299.07524,1286.58672,4.79688,2.11651,23.03678,21.40005,2.04574,49.94774
75,0.67423,0.6687,0.66704,0.66848,0.66707,3.34558,0.70217,70.21685,27.84779,41.18598,42.2328,51.60682,53.80624,55.43959,1300.0541,1267.86467,1299.2064,1286.68922,4.79677,2.11701,23.0367,21.39812,2.04499,49.95897
76,0.67413,0.66862,0.66695,0.66841,0.66703,3.34522,0.70217,70.21698,27.8457,41.16231,42.23566,51.60382,53.80688,55.43951,1300.07904,1267.87108,1299.38642,1286.83898,4.79668,2.11818,23.03664,21.39676,2.04418,49.97388
77,0.67399,0.66849,0.66683,0.66829,0.66693,3.34466,0.70217,70.21729,27.83919,41.13263,42.24116,51.60031,53.80895,55.43973,1300.06832,1267.85671,1299.61019,1287.03657,4.7966,2.12024,23.03661,21.39612,2.04319,49.98926
78,0.67381,0.66833,0.66666,0.66812,0.66679,3.34388,0.70218,70.21767,27.82638,41.10054,42.24821,51.59602,53.81266,55.44045,1300.02756,1267.82818,1299.86336,1287.26721,4.79653,2.12311,23.03661,21.39594,2.04183,50.00438
79,0.67361,0.66814,0.66647,0.66792,0.6666,3.34293,0.70218,70.21801,27.80946,41.06888,42.25616,51.59171,53.81745,55.44141,1299.96489,1267.78977,1300.12835,1287.51115,4.79645,2.12616,23.03663,21.39593,2.03979,50.02069
80,0.67337,0.6679,0.66625,0.6677,0.66637,3.34183,0.70218,70.21823,27.79292,41.03925,42.26393,51.58837,53.82217,55.44225,1299.88996,1267.74268,1300.35779,1287.71509,4.79635,2.12872,23.03665,21.39574,2.03712,50.03753
81,0.67313,0.66765,0.66603,0.6675,0.66615,3.34069,0.70218,70.21825,27.78044,41.01312,42.27053,51.5869,53.82613,55.44334,1299.81151,1267.67874,1300.49997,1287.82181,4.79625,2.13072,23.03667,21.39516,2.03414,50.05157
82,0.67291,0.66739,0.66583,0.66732,0.66596,3.3397,0.70218,70.21806,27.77407,40.99196,42.27644,51.5876,53.82915,55.44457,1299.72849,1267.58473,1300.54163,1287.82125,4.79615,2.1321,23.03668,21.39438,2.03075,50.06218
83,0.67274,0.66718,0.66566,0.66719,0.66583,3.33897,0.70218,70.21768,27.77463,40.9773,42.28262,51.59042,53.83142,55.4456,1299.66096,1267.48878,1300.477,1287.72408,4.7961,2.13283,23.03672,21.39381,2.02647,50.06979
84,0.67264,0.66702,0.66553,0.66708,0.66573,3.33848,0.70217,70.21715,27.78186,40.97105,42.29028,51.59512,53.83333,55.44676,1299.64022,1267.44289,1300.31981,1287.55599,4.7961,2.13323,23.03677,21.39381,2.02155,50.07336
85,0.67257,0.66691,0.66544,0.667,0.66567,3.33813,0.70217,70.21663,27.79449,40.97468,42.29968,51.60127,53.83527,55.44859,1299.67715,1267.46754,1300.11026,1287.35762,4.79613,2.13364,23.03686,21.39453,2.01654,50.07145
86,0.67253,0.66685,0.66537,0.66695,0.66563,3.3379,0.70216,70.21617,27.81138,40.98764,42.30901,51.60797,53.83685,55.45104,1299.74177,1267.52815,1299.901,1287.17316,4.7962,2.13398,23.03697,21.39579,2.0119,50.06466
87,0.67251,0.66681,0.66534,0.66693,0.66561,3.33774,0.70216,70.21565,27.83234,41.00938,42.31629,51.61474,53.83706,55.45336,1299.82076,1267.60795,1299.75838,1287.06224,4.79626,2.13391,23.03707,21.39726,2.00771,50.05564
88,0.67251,0.66679,0.66533,0.66694,0.66561,3.33768,0.70215,70.21501,27.85816,41.03999,42.32139,51.62134,53.83528,55.45495,1299.92043,1267.70862,1299.70604,1287.04742,4.79633,2.13352,23.03714,21.39873,2.00365,50.04768
89,0.67255,0.66679,0.66535,0.66699,0.66564,3.33775,0.70214,70.21432,27.89037,41.07864,42.32483,51.6279,53.83194,55.4559,1300.03491,1267.81864,1299.72022,1287.10654,4.79638,2.13289,23.03717,21.40006,1.99941,50.04051
90,0.67263,0.66681,0.66541,0.66708,0.66572,3.338,0.70214,70.21358,27.92943,41.12408,42.32728,51.63477,53.82777,55.45685,1300.15926,1267.92514,1299.75426,1287.18845,4.79643,2.13223,23.03716,21.40105,1.99491,50.03319
91,0.67275,0.66685,0.66549,0.66721,0.66584,3.33846,0.70213,70.21276,27.9736,41.17301,42.32907,51.64194,53.82308,55.45796,1300.29798,1268.03458,1299.77636,1287.25777,4.79647,2.13186,23.03715,21.40139,1.99032,50.02596
92,0.67291,0.66692,0.6656,0.66737,0.66599,3.33908,0.70212,70.21202,28.01843,41.22122,42.33079,51.64877,53.81806,55.45931,1300.43578,1268.14609,1299.82474,1287.35582,4.79652,2.13207,23.03716,21.40098,1.98601,50.01964
93,0.67308,0.66702,0.66572,0.66754,0.66614,3.33975,0.70212,70.21166,28.05827,41.26501,42.33333,51.65445,53.81335,55.46102,1300.56627,1268.26414,1299.94228,1287.52519,4.79656,2.13289,23.0372,21.40021,1.98282,50.01341
94,0.67322,0.66713,0.66581,0.66767,0.66625,3.34031,0.70212,70.21192,28.08971,41.30146,42.33628,51.65831,53.80924,55.46265,1300.69578,1268.40279,1300.14262,1287.78209,4.79659,2.13407,23.03725,21.39936,1.98104,50.00764
95,0.67332,0.66722,0.66588,0.66774,0.66632,3.34067,0.70213,70.21278,28.11166,41.32862,42.33841,51.65992,53.8058,55.46375,1300.81345,1268.54871,1300.38589,1288.08782,4.79661,2.13547,23.03729,21.39858,1.9805,50.00393
96,0.67337,0.66728,0.66591,0.66777,0.66636,3.34086,0.70214,70.21403,28.12296,41.34558,42.33824,51.65913,53.80285,55.46399,1300.88189,1268.65744,1300.60958,1288.37096,4.79664,2.13674,23.03728,21.39778,1.9806,50.0025
97,0.67339,0.6673,0.66591,0.66776,0.66636,3.34087,0.70216,70.21554,28.12222,41.35287,42.33564,51.65629,53.80043,55.46351,1300.88678,1268.70157,1300.73664,1288.54292,4.79668,2.1375,23.03722,21.39666,1.98105,50.00186
98,0.67337,0.66729,0.66587,0.66772,0.66633,3.34073,0.70217,70.2171,28.11179,41.35141,42.33082,51.65192,53.79888,55.46279,1300.847,1268.68944,1300.73422,1288.56247,4.79673,2.13762,23.03712,21.39528,1.98169,49.9999
99,0.67333,0.66724,0.66582,0.66765,0.66627,3.34044,0.70219,70.21859,28.09637,41.34244,42.32496,51.64657,53.79864,55.46231,1300.7913,1268.64936,1300.60472,1288.43207,4.79677,2.13736,23.037,21.39381,1.98252,49.99597
100,0.67326,0.66716,0.66574,0.66755,0.66618,3.34002,0.7022,70.2201,28.07841,41.32636,42.31995,51.64049,53.79972,55.46203,1300.73718,1268.60177,1300.39632,1288.20739,4.79678,2.13664,23.0369,21.39219,1.98357,49.99114
101,0.67317,0.66706,0.66565,0.66744,0.66607,3.33949,0.70222,70.22167,28.0569,41.30196,42.31643,51.63387,53.80206,55.46195,1300.70235,1268.56368,1300.14838,1287.9382,4.79677,2.13546,23.03683,21.39074,1.98464,49.98481
102,0.67306,0.66693,0.66555,0.66732,0.66594,3.33888,0.70223,70.22333,28.03009,41.26968,42.31458,51.62677,53.80545,55.4618,1300.67771,1268.53086,1299.88982,1287.65927,4.79675,2.13413,23.0368,21.38981,1.98556,49.97742
103,0.67292,0.6668,0.66541,0.66718,0.6658,3.33817,0.70225,70.22498,27.99897,41.2332,42.314,51.61937,53.80922,55.46109,1300.64689,1268.49357,1299.62957,1287.38234,4.79675,2.13279,23.03677,21.38938,1.98626,49.97003
104,0.67276,0.66665,0.66524,0.66703,0.66565,3.33737,0.70226,70.2264,27.96743,41.19874,42.31366,51.61222,53.81261,55.45963,1300.59836,1268.44641,1299.40709,1287.14598,4.79675,2.1313,23.03673,21.38953,1.98677,49.96277
105,0.67259,0.6665,0.66504,0.66688,0.66549,3.33651,0.70227,70.22745,27.93844,41.16989,42.31282,51.60587,53.81502,55.45775,1300.53312,1268.39186,1299.2617,1286.98881,4.79676,2.12951,23.03664,21.39029,1.98723,49.95546
106,0.67242,0.66635,0.66483,0.66673,0.66533,3.33566,0.70228,70.22805,27.91337,41.14888,42.31101,51.60078,53.81625,55.45586,1300.45385,1268.32651,1299.18114,1286.90191,4.79677,2.12728,23.03653,21.39136,1.98776,49.94655
107,0.67226,0.66623,0.66463,0.6666,0.66517,3.33485,0.70228,70.22831,27.89381,41.13761,42.30752,51.59746,53.81642,55.45439,1300.35163,1268.23974,1299.14521,1286.86485,4.79678,2.12479,23.03642,21.39219,1.98834,49.93423
108,0.67212,0.66611,0.66444,0.66648,0.66502,3.33411,0.70228,70.22838,27.88121,41.13578,42.30322,51.59586,53.81571,55.45361,1300.23991,1268.14066,1299.10765,1286.82696,4.79678,2.12257,23.03635,21.39237,1.98894,49.91995
