Time,U1,U2,U3,U4,U5,Utot,J,I,TinH2,ToutH2,TinAIR,ToutAIR,TinWAT,ToutWAT,PinAIR,PoutAIR,PoutH2,PinH2,DinH2,DoutH2,DinAIR,DoutAIR,DWAT,HrAIRFC
44,0.66547,0.66089,0.65545,0.65856,0.65535,3.29578,0.70057,70.05732,24.62984,37.90408,43.25884,51.28573,53.75058,55.42586,1299.5989,1266.44389,1300.93111,1288.34359,4.79428,2.1283,23.03538,21.30673,1.964,52.17166
45,0.6654,0.66091,0.65518,0.65825,0.65512,3.29511,0.70057,70.05733,24.64182,37.92242,43.26071,51.28078,53.74652,55.42672,1299.52087,1266.35354,1300.87064,1288.30897,4.79432,2.12725,23.03557,21.30612,1.95324,52.15802
46,0.66526,0.66088,0.65489,0.65791,0.65491,3.2946,0.70057,70.05683,24.66077,37.94363,43.26034,51.27009,53.74271,55.42674,1299.51608,1266.28348,1300.70606,1288.13756,4.79435,2.12598,23.03572,21.30649,1.94689,52.16508
47,0.66511,0.66077,0.65457,0.65766,0.65471,3.29413,0.70056,70.05588,24.68607,37.97358,43.25593,51.25793,53.73934,55.42637,1299.55269,1266.26455,1300.50462,1287.90058,4.79442,2.12436,23.03584,21.30752,1.96596,52.19918
48,0.66503,0.66067,0.65433,0.65755,0.65456,3.29374,0.70056,70.05556,24.71206,37.99025,43.25279,51.24257,53.74537,55.43391,1299.6335,1266.27554,1300.21245,1287.54189,4.79442,2.12297,23.03595,21.30931,1.98662,52.22116
49,0.66498,0.66061,0.6542,0.65748,0.65443,3.29342,0.70056,70.05589,24.72586,37.99985,43.26351,51.23225,53.75139,55.43964,1299.66568,1266.24367,1299.84569,1287.12338,4.79449,2.12225,23.03607,21.31187,1.99853,52.22599
50,0.66481,0.66053,0.65411,0.65739,0.65429,3.29288,0.70056,70.05623,24.73792,38.01291,43.27967,51.22772,53.7598,55.445,1299.5906,1266.14142,1299.5873,1286.84002,4.79463,2.12249,23.03617,21.31381,2.01435,52.22539
51,0.66452,0.66039,0.65403,0.65731,0.65409,3.29195,0.70057,70.05681,24.7513,38.03469,43.28948,51.2251,53.76678,55.45068,1299.49816,1266.06445,1299.52656,1286.74663,4.79475,2.12351,23.03623,21.3128,2.03696,52.23879
52,0.66428,0.66025,0.65393,0.6573,0.6539,3.29087,0.70058,70.058,24.75648,38.05703,43.29192,51.22231,53.77142,55.45479,1299.45129,1266.06397,1299.49358,1286.63616,4.7949,2.12501,23.03626,21.30838,2.04032,52.23599
53,0.66412,0.66013,0.65383,0.65727,0.65376,3.28967,0.7006,70.05966,24.73215,38.06178,43.29938,51.21741,53.76363,55.44592,1299.47657,1266.08725,1299.33886,1286.38208,4.79495,2.12641,23.03628,21.30205,2.0373,52.22136
54,0.66393,0.65997,0.65366,0.65715,0.65359,3.28843,0.70061,70.06094,24.70056,38.03953,43.30548,51.21012,53.75474,55.43607,1299.47302,1266.05542,1299.1935,1286.16308,4.79482,2.1275,23.03621,21.29564,2.03455,52.21843
55,0.66368,0.65975,0.65335,0.65694,0.6533,3.28699,0.70062,70.06155,24.67154,38.0114,43.3054,51.20517,53.75091,55.43012,1299.59312,1266.12042,1299.13717,1286.05264,4.79445,2.12734,23.03612,21.29167,2.03249,52.23026
56,0.66346,0.65947,0.65301,0.65666,0.65301,3.28552,0.70062,70.0619,24.64218,37.99082,43.30222,51.19941,53.74851,55.42621,1299.85424,1266.29176,1299.01252,1285.88404,4.79413,2.1266,23.03604,21.29226,2.03266,52.23709
57,0.66333,0.65923,0.65269,0.65638,0.65276,3.28432,0.70062,70.06217,24.67245,37.97742,43.3004,51.19598,53.74823,55.42633,1300.02229,1266.36548,1298.81446,1285.72374,4.79401,2.1258,23.03595,21.29443,2.03635,52.23252
58,0.66319,0.65902,0.65243,0.65604,0.6525,3.2832,0.70062,70.06246,24.7013,37.94612,43.30128,51.19351,53.74963,55.42858,1299.93879,1266.22885,1298.64616,1285.62675,4.79411,2.12471,23.03583,21.29482,2.04224,52.2133
59,0.66305,0.65881,0.65216,0.65565,0.65221,3.28193,0.70063,70.06296,24.70763,37.89706,43.30588,51.19263,53.75068,55.4295,1299.76715,1266.05021,1298.689,1285.67546,4.79414,2.1238,23.03574,21.29486,2.04687,52.19751
60,0.66299,0.65863,0.65187,0.65527,0.65196,3.2808,0.70064,70.0637,24.72095,37.86966,43.30192,51.19646,53.75179,55.43063,1299.62964,1265.93289,1298.82814,1285.77143,4.79427,2.12364,23.0357,21.29558,2.04974,52.17349
61,0.663,0.65852,0.65165,0.65499,0.65175,3.27999,0.70065,70.06465,24.74465,37.86268,43.29002,51.20405,53.75012,55.43232,1299.46914,1265.78037,1298.92134,1285.8534,4.79452,2.12429,23.03571,21.29703,2.05321,52.14138
62,0.66296,0.65843,0.65154,0.65483,0.65158,3.27938,0.70065,70.0651,24.75742,37.85926,43.28037,51.21806,53.74752,55.43575,1299.20848,1265.5569,1299.07937,1286.0347,4.79488,2.12498,23.03577,21.29845,2.0544,52.11804
63,0.66291,0.6584,0.65149,0.65476,0.65142,3.27892,0.70065,70.06472,24.78829,37.8623,43.28,51.24245,53.75005,55.44281,1299.0028,1265.42728,1299.54299,1286.57139,4.7952,2.1245,23.03585,21.2985,2.04873,52.10559
64,0.66292,0.6584,0.65143,0.65476,0.65132,3.27868,0.70064,70.06377,24.82341,37.89152,43.28418,51.26984,53.75478,55.44967,1298.94747,1265.43653,1300.17167,1287.32889,4.79537,2.123,23.03585,21.29842,2.04039,52.09312
65,0.66291,0.65842,0.65141,0.65487,0.65127,3.2787,0.70063,70.06256,24.85213,37.92653,43.28156,51.29268,53.75763,55.45295,1299.0506,1265.5895,1300.66096,1287.9746,4.79545,2.12155,23.03583,21.29922,2.03249,52.07399
66,0.66283,0.65845,0.65143,0.65499,0.65121,3.27872,0.70061,70.06145,24.88819,37.93903,43.28071,51.30893,53.75724,55.45156,1299.16186,1265.7747,1300.81544,1288.25976,4.79571,2.12191,23.03586,21.29691,2.02578,52.06035
67,0.66272,0.65845,0.65138,0.65508,0.6512,3.27865,0.70061,70.06083,24.89355,37.9397,43.2885,51.31851,53.75753,55.44752,1299.42241,1266.09874,1300.76704,1288.27369,4.79595,2.12448,23.03595,21.29207,2.02214,52.066
68,0.66266,0.65841,0.65127,0.65509,0.65123,3.27851,0.70061,70.0611,24.86813,37.9289,43.29719,51.314,53.75615,55.44082,1299.79727,1266.45417,1300.5334,1288.03494,4.79611,2.12764,23.03601,21.28584,2.02142,52.08212
69,0.66266,0.65834,0.65115,0.65507,0.65124,3.27836,0.70062,70.06179,24.83835,37.90279,43.29566,51.29533,53.75432,55.43471,1300.06764,1266.62837,1300.0525,1287.5129,4.79623,2.12963,23.03606,21.28093,2.0227,52.09009
70,0.66259,0.65825,0.65103,0.65505,0.65122,3.27798,0.70062,70.06234,24.81175,37.90689,43.29382,51.27641,53.7534,55.43059,1300.0487,1266.52848,1299.22949,1286.64392,4.79607,2.13132,23.0361,21.27983,2.02524,52.10421
71,0.66247,0.65817,0.65091,0.655,0.65118,3.27753,0.70062,70.06238,24.79947,37.95281,43.2951,51.26775,53.75591,55.43106,1299.89627,1266.38279,1298.37012,1285.72763,4.79571,2.13331,23.03621,21.28475,2.02807,52.12643
72,0.6624,0.6581,0.65092,0.65492,0.65114,3.27732,0.70062,70.0619,24.80408,38.00076,43.29962,51.2687,53.76313,55.43698,1299.81616,1266.31901,1297.76127,1285.02742,4.79537,2.13443,23.03631,21.29537,2.03098,52.13994
73,0.66238,0.65801,0.65106,0.65488,0.65107,3.27727,0.70062,70.06139,24.82374,38.04209,43.30348,51.27291,53.77086,55.44358,1299.79029,1266.34068,1297.65377,1284.83861,4.79507,2.13271,23.03642,21.30747,2.03356,52.13813
74,0.66236,0.65794,0.65123,0.65484,0.65098,3.27721,0.70061,70.06122,24.8577,38.0793,43.30553,51.2811,53.77632,55.44722,1299.70316,1266.34665,1297.86365,1285.01616,4.7951,2.12981,23.03659,21.31715,2.03582,52.12664
75,0.66234,0.65793,0.6513,0.65482,0.65093,3.27723,0.70061,70.06134,24.90208,38.11917,43.3067,51.29362,53.78142,55.44957,1299.57669,1266.34568,1298.18165,1285.29071,4.79532,2.12827,23.03673,21.32451,2.03886,52.11916
76,0.66234,0.65793,0.65138,0.65481,0.65091,3.27736,0.70062,70.06176,24.94706,38.13808,43.30452,51.30186,53.78442,55.44981,1299.53019,1266.37486,1298.75451,1285.75745,4.79516,2.1267,23.03677,21.32897,2.04231,52.11971
77,0.66241,0.65796,0.65152,0.6548,0.65091,3.27763,0.70062,70.06236,24.97593,38.12024,43.30326,51.29998,53.78568,55.45066,1299.5004,1266.29184,1299.65847,1286.55223,4.79507,2.12355,23.03681,21.33062,2.04415,52.12108
78,0.6625,0.65797,0.65156,0.65476,0.65093,3.27774,0.70063,70.06282,24.96759,38.09367,43.30734,51.2873,53.78363,55.45211,1299.41075,1266.09014,1300.32149,1287.22065,4.79516,2.12067,23.03675,21.32942,2.04469,52.12797
79,0.66256,0.65796,0.6514,0.65468,0.65093,3.2775,0.70063,70.06287,24.94348,38.05844,43.312,51.27069,53.77456,55.45313,1299.29625,1265.88209,1300.60965,1287.61565,4.79512,2.12011,23.03662,21.32834,2.04551,52.15255
80,0.66259,0.6579,0.65116,0.65459,0.65088,3.27702,0.70063,70.06266,24.90527,38.01498,43.30607,51.25498,53.76208,55.4535,1299.24259,1265.72921,1300.63026,1287.76126,4.79443,2.12043,23.03636,21.32887,2.04638,52.18044
81,0.66248,0.65773,0.65089,0.65442,0.65073,3.27602,0.70063,70.0626,24.86963,37.96117,43.29654,51.24073,53.7457,55.45072,1299.21673,1265.60417,1300.52281,1287.73592,4.79385,2.12161,23.03607,21.32725,2.04659,52.20777
82,0.66225,0.65744,0.65059,0.6541,0.65043,3.2745,0.70063,70.06257,24.84099,37.89597,43.28407,51.23203,53.72808,55.44597,1299.326,1265.59774,1300.25555,1287.5006,4.7937,2.1248,23.03581,21.32328,2.04582,52.22405
83,0.66191,0.657,0.65018,0.65362,0.64999,3.27246,0.70063,70.06272,24.80791,37.83613,43.27673,51.2308,53.71184,55.4412,1299.4506,1265.65081,1299.66466,1286.95146,4.79361,2.12993,23.03569,21.3191,2.04539,52.23893
84,0.66141,0.65643,0.64966,0.65301,0.6494,3.26975,0.70063,70.06305,24.80007,37.79935,43.26832,51.23407,53.69794,55.43363,1299.45522,1265.69343,1299.22454,1286.53985,4.79353,2.13402,23.03565,21.31438,2.04549,52.25425
85,0.66075,0.65578,0.64908,0.65224,0.64868,3.26642,0.70063,70.06351,24.80265,37.7895,43.26378,51.23638,53.68549,55.42511,1299.36714,1265.71732,1299.26228,1286.52047,4.7935,2.13522,23.03571,21.30889,2.04561,52.26297
86,0.66001,0.65511,0.6485,0.65145,0.64788,3.26279,0.70064,70.06378,24.81427,37.821,43.26551,51.23949,53.67732,55.42281,1299.29073,1265.76811,1299.32897,1286.46333,4.7935,2.13697,23.03586,21.3035,2.04447,52.24688
87,0.65933,0.65451,0.64791,0.65075,0.64709,3.25919,0.70064,70.06382,24.83294,37.88006,43.27061,51.24787,53.67659,55.42763,1299.38873,1266.01455,1299.3926,1286.43872,4.79367,2.13997,23.03598,21.30243,2.04287,52.21765
88,0.6587,0.654,0.64729,0.65014,0.64633,3.25588,0.70064,70.06386,24.8597,37.94228,43.26884,51.25973,53.68514,55.43656,1299.52932,1266.2905,1299.66904,1286.70169,4.79385,2.13976,23.03609,21.30556,2.04172,52.19312
89,0.65799,0.65352,0.64665,0.64955,0.64557,3.2525,0.70064,70.06397,24.88866,37.99914,43.26629,51.26972,53.69681,55.44487,1299.58061,1266.43421,1300.01364,1287.05498,4.79389,2.13747,23.03614,21.30933,2.04092,52.1809
90,0.65727,0.65298,0.646,0.64898,0.64487,3.24917,0.70064,70.06411,24.91852,38.04535,43.26496,51.27669,53.70997,55.45456,1299.65902,1266.51734,1300.29124,1287.3437,4.79397,2.13721,23.0362,21.31057,2.03969,52.16747
91,0.65663,0.65246,0.64539,0.64853,0.64432,3.24619,0.70064,70.06422,24.94754,38.07604,43.26439,51.2827,53.72438,55.46369,1299.67863,1266.4391,1300.28589,1287.39946,4.79409,2.13739,23.03624,21.31012,2.03889,52.15691
92,0.65613,0.65196,0.64495,0.64816,0.64385,3.2436,0.70064,70.06428,24.96998,38.07712,43.26521,51.28421,53.73588,55.46644,1299.63267,1266.25865,1300.25083,1287.49309,4.7941,2.13429,23.03623,21.30634,2.03839,52.16473
93,0.65572,0.65142,0.64471,0.64779,0.64341,3.24135,0.70065,70.06457,24.97907,38.05998,43.27078,51.27956,53.74023,55.46355,1299.65652,1266.20843,1300.42966,1287.79619,4.79382,2.12769,23.03621,21.29999,2.03812,52.18169
94,0.6552,0.65083,0.64451,0.64742,0.643,3.23964,0.70065,70.06501,24.97616,38.0398,43.28256,51.27299,53.7377,55.46049,1299.71277,1266.24462,1300.48036,1287.89142,4.79356,2.12161,23.0362,21.2925,2.03703,52.19156
95,0.65464,0.65031,0.64415,0.64712,0.64262,3.23771,0.70065,70.06516,24.97035,38.02415,43.29608,51.26447,53.73007,55.45513,1299.78272,1266.36459,1300.31489,1287.74449,4.79344,2.11889,23.03621,21.2875,2.03508,52.20283
96,0.65417,0.64987,0.64372,0.64688,0.64222,3.23592,0.70065,70.06496,24.96853,38.00792,43.30429,51.2486,53.71712,55.44246,1299.85597,1266.5601,1300.16405,1287.63194,4.79341,2.11639,23.03621,21.28609,2.03275,52.22328
97,0.6537,0.64937,0.64321,0.64654,0.64168,3.23402,0.70065,70.06455,24.95828,38.00055,43.30571,51.22736,53.69837,55.42313,1299.88901,1266.7453,1300.01978,1287.50347,4.79336,2.11695,23.03616,21.28784,2.02891,52.24544
98,0.65327,0.64892,0.64273,0.64609,0.64115,3.23221,0.70064,70.06417,24.94266,37.99184,43.29881,51.21019,53.67643,55.40168,1299.95226,1266.93232,1299.86398,1287.30604,4.79343,2.12178,23.03616,21.29331,2.02421,52.26458
99,0.653,0.64876,0.64235,0.64587,0.64098,3.2318,0.70064,70.06396,24.93125,37.98134,43.29034,51.19759,53.65062,55.37944,1299.88435,1266.93183,1299.45574,1286.82389,4.79363,2.13034,23.0362,21.30155,2.01899,52.2914
100,0.65291,0.64869,0.64209,0.64577,0.64081,3.23143,0.70064,70.06404,24.9256,37.98059,43.28333,51.18189,53.62431,55.3585,1299.7226,1266.77319,1298.99849,1286.31232,4.79369,2.13853,23.03616,21.30976,2.01392,52.32454
101,0.65306,0.6487,0.6421,0.64573,0.64072,3.23145,0.70065,70.06449,24.91886,37.99102,43.26971,51.16426,53.60214,55.34266,1299.65313,1266.68498,1298.86586,1286.11122,4.79365,2.14398,23.03606,21.31781,2.00922,52.33998
102,0.65341,0.64875,0.6425,0.64554,0.64054,3.23144,0.70065,70.06507,24.92067,37.98294,43.2562,51.15982,53.59114,55.3404,1299.65098,1266.65517,1298.8801,1286.019,4.79361,2.1439,23.0359,21.32727,2.00556,52.33185
103,0.6541,0.64942,0.64344,0.64622,0.64116,3.23409,0.70066,70.06561,24.92836,37.959,43.2528,51.17074,53.59404,55.35135,1299.6784,1266.64432,1298.96016,1286.02721,4.79364,2.13911,23.03565,21.33569,2.00133,52.31519
104,0.65493,0.65044,0.64451,0.64746,0.64226,3.24008,0.70066,70.0661,24.93415,37.94115,43.2599,51.18165,53.60457,55.36125,1299.80729,1266.72,1298.98564,1286.06092,4.79346,2.13013,23.03539,21.34032,1.99943,52.31172
105,0.65559,0.65085,0.64526,0.64829,0.64257,3.23905,0.70066,70.06626,24.93638,37.93194,43.27031,51.1846,53.61665,55.36763,1299.97917,1266.81733,1298.92479,1286.0156,4.79336,2.12278,23.03519,21.3417,2.00338,52.31817
106,0.65605,0.65102,0.64565,0.64866,0.64272,3.23858,0.70066,70.06634,24.93374,37.92854,43.27346,51.1854,53.63127,55.37423,1300.10781,1266.86625,1298.89001,1286.00136,4.79336,2.11726,23.03511,21.33846,2.00827,52.32212
107,0.65629,0.6511,0.64578,0.64868,0.64282,3.23903,0.70066,70.06617,24.92109,37.93763,43.27437,51.18917,53.64335,55.37519,1300.13649,1266.78159,1299.05268,1286.24711,4.79341,2.11196,23.03514,21.33213,2.0141,52.3401
108,0.65628,0.65105,0.64571,0.64849,0.64273,3.23954,0.70066,70.06595,24.90286,37.97309,43.27521,51.19494,53.65112,55.36693,1300.12688,1266.63527,1299.37393,1286.7018,4.79347,2.1096,23.03521,21.32415,2.02336,52.37795
